Word,Definitions,Word length,Number of Syllables,Word Frequency,Difficulty
compound,something that is made from two or more other things,8,2,4.18,hard
prize,something that is won in a contest or given as an award,5,1,4.59,hard
constraint,something that limits or prevents someone or something from moving,10,2,3.28,hard
indication,something that signals that something else exists or will happen,10,4,4.06,hard
obligation,something that you do because it is your duty or because you feel you have to,10,4,4.07,hard
visual,something to look at with the eyes,6,3,4.5,medium
percent,one one-hundredth of a whole,7,2,5.04,hard
percentage,part of a whole divided into hundredths,10,3,4.48,hard
perfect,so good it/they cannot be improved,7,2,5.2,hard
assumption,"something you believe to be so, but aren't sure of",10,3,4.07,hard
perform,to carry out an action well or successfully,7,2,4.66,medium
performance,activity done to entertain an audience,11,3,5.16,hard
perhaps,"possibly, but not certainly; maybe",7,2,5.09,hard
thing,something you cannot remember the name of,5,1,5.72,easy
pen,something you write with that uses ink,3,1,4.38,hard
rather,somewhat; fairly; not that much,6,2,5.32,hard
personal,done by or to a particular person; individual,8,3,5.2,hard
tone,sound of a voice that shows emotion or meaning,4,1,4.49,hard
alarm,sound or light used for a warning or to wake someone,5,2,4.28,hard
music,sounds that are sung or played to give pleasure,5,2,5.52,hard
perspective,"way of thinking, an attitude toward something",11,3,4.56,hard
representation,speaking or doing something officially for another person,14,5,4.34,hard
celebration,special event where people show the importance of something,11,4,4.29,hard
ceremony,special social or religious event,8,4,4.42,hard
phone,to talk to someone using a telephone,5,1,5.3,easy
photo,short for photograph; a picture taken by a camera,5,2,4.97,hard
gear,"special supplies, tools, or clothes needed for a particular activity; machinery that turns power into forward or backward movement",4,1,4.46,hard
physical,concerning the body of a person,8,3,4.94,medium
rate,speed or frequency of events over time,4,1,5.14,easy
pick,to decide on a thing from various choices; select,4,1,5.08,easy
picture,"painting, drawing or photograph on paper or screen",7,2,5.13,hard
piece,small part that of something larger,5,1,5.04,easy
championship,sports competition to find the best player or team,12,4,4.54,hard
from,"starting at a particular place, time, or level",4,1,6.63,easy
ease,state of being comfortable or relaxed,4,1,4.34,hard
gender,state of being male or female,6,2,4.59,medium
attendance,state of being present at a place or event,10,3,4.17,hard
existence,"state of being present, alive, or real",9,3,4.55,hard
comfort,"state of being relaxed, warm, or happy",7,2,4.41,medium
exposure,state of experiencing something directly,8,3,4.44,medium
plane,an airplane,5,1,4.72,easy
happiness,state of feeling pleased; feeling of satisfaction,9,3,4.44,hard
plant,living thing with leaves and roots growing in soil,5,1,4.89,easy
complexity,state of having many parts and not being simple,10,4,4.02,hard
diversity,state or quality of having a range of different things,9,4,4.32,hard
stair,steps that go from one level to another,5,1,3.26,hard
player,person who plays sports,6,2,5.19,hard
tale,story about colorful and imaginary events,4,1,4.29,hard
please,you say this when you politely ask people for things,6,1,5.66,hard
pleasure,"feeling of happiness, enjoyment, or satisfaction",8,2,4.57,medium
plus,having a value greater than zero,4,1,4.95,easy
side,straight edge of an object,4,1,5.5,easy
guitar,stringed musical instrument played with the fingers,6,2,4.48,medium
attachment,strong affection for someone,10,3,3.88,hard
barrier,structure or object that stops free movement,7,3,4.15,hard
philosophy,study of ideas about the fundamental nature of life,10,4,4.49,hard
police,"people, often in uniforms, who solve crimes",6,2,5.33,hard
history,study of past event,7,3,5.39,hard
mathematics,study or science of numbers and shapes,11,4,4.15,hard
politics,activities influencing the policies of a government,8,3,4.87,medium
dramatic,sudden and extreme,8,3,4.41,medium
flash,sudden bright light,5,1,4.45,hard
pool,large container or hole that is filled with water and used for people to swim in,4,1,4.67,easy
poor,without money; not rich,4,1,5.09,easy
pop,to cause something to open or burst suddenly,3,1,4.87,easy
popular,liked or enjoyed by many people,7,3,5.07,hard
formal,"suitable for serious, official, or important occasions",6,2,4.45,medium
number,"symbols such as 1, 2, 56, 793",6,2,5.62,hard
lecture,talk or speech about a particular subject,7,2,4.14,hard
position,specific location where someone or something is,8,3,5.21,hard
positive,"good or useful in qualities, constructive, confident",8,3,4.99,medium
sweet,tasting like sugar; containing sugar,5,1,4.91,easy
examination,"test of your knowledge of, or ability in something",11,5,4.26,hard
possibility,something with a chance of happening or being true,11,5,4.58,hard
exam,test of your knowledge or ability in something,4,2,4.26,hard
possibly,"may be true or likely, but is uncertain",8,3,4.77,medium
post,to send a letter or package using the post office,4,1,5.43,easy
potentially,that could happen or become reality,11,4,4.39,hard
concentration,the ability to direct all your effort and attention on the one thing you are doing and nothing else,13,4,4.27,hard
potential,capable of happening or becoming reality,9,3,5.01,hard
imagination,the ability to think of new ideas or things that are not real,11,5,4.22,hard
pound,unit of weight equal to 16 ounces or 0.4536 kg,5,1,4.32,hard
selection,the act of carefully choosing something or someone from a group,9,3,4.62,hard
entry,the act of going into some place,5,2,4.67,hard
immigration,the act of moving from one country to another for good,11,4,4.47,hard
powerful,having control or influence over,8,3,4.85,medium
practice,to do something many times to improve a skill,8,2,5.06,hard
bath,the cleaning of a body by putting it completely into water,4,1,4.44,hard
shower,the cleaning of a body by standing under falling water,6,2,4.5,medium
east,the direction where the sun rises,4,1,5.16,easy
measurement,the finding of the size or amount of something or someone,11,3,4.05,hard
predict,to guess or estimate what will or might happen,7,2,4.08,hard
prefer,to like something better than something else,6,2,4.57,medium
chest,the front of your body between your neck and your waist,5,1,4.52,hard
outline,"the main ideas or facts about something, without the details",7,2,3.92,hard
king,the male ruler of a country that has a royal family,4,1,5.17,easy
meat,the muscles and soft parts of animals or birds that is eaten as food,4,1,4.63,hard
unemployment,the number of people in an area who want to work but do not have a job,12,4,4.22,hard
prepare,to make something ready for use,7,2,4.55,medium
ear,the part of the head that you hear with,3,1,4.43,hard
half,the part you get when one is divided into two; ½,4,1,5.41,easy
i,the person who is speaking or writing,1,1,7.09,easy
prospect,"the possibility that something might happen in the future, especially something good",8,2,4.13,hard
press,to push something against something else,5,1,5.16,easy
pressure,force/weight when pressing against a thing,8,2,5.01,medium
discipline,the teaching of self-control through instruction and practice,10,3,4.23,hard
narrative,the telling of a story,9,3,4.39,hard
pretty,being attractive to the eye in a simple way,6,2,5.38,hard
prevent,to stop something from happening or existing,7,2,4.79,medium
previous,existing or happening before the present time,8,3,5.0,medium
previously,at an earlier time,10,4,4.83,hard
peak,"the time or place when something or someone is best, greatest, highest",4,1,4.53,hard
diet,the type of food that a person or animal usually eats,4,2,4.57,hard
self,the type of person you really are,4,1,5.25,easy
primary,"most important, most basic or essential",7,3,4.88,medium
consequently,therefore; as a result of something,12,4,3.94,hard
string,thin rope,6,1,4.4,hard
wire,"thin, flexible thread of metal",4,2,4.43,hard
book,thing made of pages with writing on that you read,4,1,5.43,easy
anything,thing of any kind; used to refer to a thing in questions,8,3,5.55,hard
private,personal; not to be seen by everyone,7,2,5.19,hard
something,thing that is not yet known or named,9,2,5.81,hard
brush,thing used to comb your hair or to clean the floor,5,1,4.23,hard
view,things you are able to see from a specific place,4,1,5.19,easy
clothing,things you wear on your body,8,2,4.47,medium
careful,thinking about what you are doing in order to avoid a mistake,7,2,4.59,medium
future,time that is to come after the present,6,2,5.33,hard
procedure,usual or standard way in which something is done,9,3,4.44,hard
proceed,to continue to do something; carry on,7,2,4.18,hard
pregnancy,time when a female is going to have a baby,9,3,4.33,hard
produce,to manufacture something using machines,7,2,4.78,medium
retirement,time when someone has stopped working because of their age,10,4,4.53,hard
production,process of making something on a large scale,10,3,5.14,hard
night,time when sun does not shine ,5,1,5.61,easy
deeply,"to a great, intense, or extreme extent",6,2,4.44,medium
submit,to accept a superior force has power over you,6,2,4.28,hard
profit,to earn money from something,6,2,4.7,medium
acknowledge,to accept that something is true,11,3,4.18,hard
progress,to move forward or toward a place or goal,8,2,4.78,medium
project,a planned piece of work for specific purpose,7,2,5.22,hard
promise,to say you will certainly do something,7,2,4.71,medium
promote,to try to encourage the popularity and sales of a product,7,2,4.56,medium
pretend,to act as if something is true when it is not,7,2,4.33,hard
behave,to act in a particular way; to act correctly,6,2,4.0,hard
help,to act to enable a person to do something; assist,4,1,5.75,easy
proper,correct according to social or moral rules,6,2,4.72,medium
do,to act; to perform actions,2,1,6.35,easy
proposal,offer or plan to people who can decide about it,8,3,4.47,medium
propose,to offer or put forward an idea for consideration,7,2,3.99,hard
process,to adopt a set of actions that produce a particular result,7,2,5.26,hard
protect,to defend someone or something from harm or danger,7,2,4.92,medium
protection,being kept from harm,10,3,4.85,hard
crack,to almost break something,5,1,4.41,hard
seem,to appear to be something,4,1,5.08,easy
prove,to demonstrate truth by providing evidence,5,1,4.77,easy
question,to ask for or try to get information,8,2,5.35,hard
bless,to ask the gods to protect someone or something,5,1,4.17,hard
spell,"to be able to say, write, or print the letters that make up a word",5,1,4.37,hard
can,to be able to; have the skill to; have the time to,3,1,6.46,easy
live,to be alive,4,1,5.54,easy
attach,to be associated or connected with,6,2,3.75,hard
feel,to be aware of or experience an emotion or sensation,4,1,5.67,easy
pull,to hold something and move it toward you,4,1,4.82,easy
hear,to be aware of sound; to perceive with the ear,4,1,5.23,easy
